SNP T1 T2 T3 T4 T5 T6 T7 T8 T9 T10
rs1 5.82e-05 5.82e-05 5.82e-05 5.82e-05 5.82e-05 5.82e-05 5.82e-05 5.82e-05 5.82e-05 5.82e-05
rs2 1.14e-05 1.14e-05 1.14e-05 1.14e-05 1.14e-05 1.14e-05 1.14e-05 1.14e-05 1.14e-05 1.14e-05
rs3 3.55e-05 3.55e-05 3.55e-05 3.55e-05 3.55e-05 3.55e-05 3.55e-05 3.55e-05 3.55e-05 3.55e-05
rs4 1.43e-05 1.43e-05 1.43e-05 1.43e-05 1.43e-05 1.43e-05 1.43e-05 1.43e-05 1.43e-05 1.43e-05
rs5 5.84e-05 5.84e-05 5.84e-05 5.84e-05 5.84e-05 5.84e-05 5.84e-05 5.84e-05 5.84e-05 5.84e-05
rs6 3.47e-05 3.47e-05 3.47e-05 3.47e-05 3.47e-05 3.47e-05 3.47e-05 3.47e-05 3.47e-05 3.47e-05
rs7 1.19e-05 1.19e-05 1.19e-05 1.19e-05 1.19e-05 1.19e-05 1.19e-05 1.19e-05 1.19e-05 1.19e-05
rs8 1.03e-05 1.03e-05 1.03e-05 1.03e-05 1.03e-05 1.03e-05 1.03e-05 1.03e-05 1.03e-05 1.03e-05
rs9 2.43e-05 2.43e-05 2.43e-05 2.43e-05 2.43e-05 2.43e-05 2.43e-05 2.43e-05 2.43e-05 2.43e-05
rs10 1.17e-05 1.17e-05 1.17e-05 1.17e-05 1.17e-05 1.17e-05 1.17e-05 1.17e-05 1.17e-05 1.17e-05
rs11 3.77e-05 3.77e-05 3.77e-05 3.77e-05 3.77e-05 3.77e-05 3.77e-05 3.77e-05 3.77e-05 3.77e-05
rs12 1.07e-05 1.07e-05 1.07e-05 1.07e-05 1.07e-05 1.07e-05 1.07e-05 1.07e-05 1.07e-05 1.07e-05
rs13 1.41e-05 1.41e-05 1.41e-05 1.41e-05 1.41e-05 1.41e-05 1.41e-05 1.41e-05 1.41e-05 1.41e-05
rs14 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05
